1,chris,leaveter,ex@em.com
2,chris,leab,eg@glkdj.com
3,fhris,lkjsf,lsdkfsfj@lkj.com
4,lkjlj,sdfsdf,lkj@lkj.com
5,lkuhn,lkiun,slkjdfj@gmail.com
6,Please,Work,goddammit@email.com
7,cmon,man,justwork@email.com
8,gonna,work,thistime@email.com
9,hmmm,will,itwork@email.com
10,try,again,iguess@email.com
11,test,again,whoknows>@gmail.com
12,sarah,santho,ss@gmail.com
13,Big,Jim,bigjim@gmail.com
14,john,chan,jc@email.co
15,jesus,christ,JC@cloudmail.com
16,Rob,Leabeter,roblea@email.com
17,Burger,King,burgerking@email.com
18,Falafel,Queen,chickpeaqueen@stankybreath.com
19,Chris,Leabeter,superemail@email.com
20,Bippity,Boop,bippityboop@gmail.com
21,Me,Him,whatever@email.com
22,Bob,Ross,secretemail@gmail.com
23,hghfgh,jhgj,sdgsfs
24,Mike,Easton,emailemail@email.com
25,eee,xxx,ttt
26,Potato,Head,potatohead@gmail.com,"{""done""=>nil}"
27,Buzz,Lightyear,buzzlightyear@gmail.com,"{""home""=>"" 647-888-9999"", ""done""=>nil}","{""home""=>"" 647-888-9999"", ""done""=>nil}"
28,rrr,ccc,qqq
29,ppp,jjj,iii,"{""done""=>nil}"
30,ksdrjrj,sldkfj,kjlkj
31,lsdkfjjf,lskrnrgjf,rkutugh,"{""home""=>"" 111-222-3333"", ""apple""=>"" 222-222-2222""}","{""home""=>"" 111-222-3333"", ""apple""=>"" 222-222-2222""}"
32,jklu,kdrjrl,oiu,"{""mobile""=>"" 888-888-8878"", ""home""=>"" 789-987-5484""}","{""mobile""=>"" 888-888-8878"", ""home""=>"" 789-987-5484""}"
33,It,Works,finally@email.com
34,tessssst,tessssssssssssst,test
35,french,fry,email@email.com
36,This,Works,finally@now.com,"{""789-966-3214""=>nil, ""home""=>"" 654-456-4646"", ""mobile""=>"" 979-852-3146"", ""pager""=>"" 911-756-1597""}","{""789-966-3214""=>nil, ""home""=>"" 654-456-4646"", ""mobile""=>"" 979-852-3146"", ""pager""=>"" 911-756-1597""}","{""789-966-3214""=>nil, ""home""=>"" 654-456-4646"", ""mobile""=>"" 979-852-3146"", ""pager""=>"" 911-756-1597""}","{""789-966-3214""=>nil, ""home""=>"" 654-456-4646"", ""mobile""=>"" 979-852-3146"", ""pager""=>"" 911-756-1597""}"
37,final,test,example@email.com,"{""home""=>"" 777-888-9999"", ""mobile""=>"" 444-555-6666"", ""batphone""=>"" 999-999-9999""}","{""home""=>"" 777-888-9999"", ""mobile""=>"" 444-555-6666"", ""batphone""=>"" 999-999-9999""}","{""home""=>"" 777-888-9999"", ""mobile""=>"" 444-555-6666"", ""batphone""=>"" 999-999-9999""}"
38,final,test,finaltest@gmail.com,"{""mobile""=>"" 555-555-5555""}"
39,fsfndrlj,lsdkfjlsj,874,"{""home""=>"" 999-999-9999"", ""mobile""=>"" 222-222-2222""}"
